BFCP 16384 8.0 328.0 134209536 (2157,8702) 0.001319009842335871
BFCP 16384 8.0 316.0 134209536 (2831,11639) 6.79907380773725E-4
BFCP 16384 8.0 301.0 134209536 (5354,7206) 6.170133592208109E-4
BFCP 16384 8.0 312.0 134209536 (4387,8602) 0.0013295060651784963
BFCP 16384 64.0 300.0 134209536 (11051,13034) 0.006521770924639711
BFCP 16384 64.0 320.0 134209536 (5150,5610) 0.008653097803423587
BFCP 16384 64.0 313.0 134209536 (7115,13874) 0.0037943041431992026
BFCP 16384 64.0 299.0 134209536 (4915,14874) 0.007393027642961012
BFCP 16384 64.0 297.0 134209536 (2283,15204) 0.006213105216680741
BFCP 32768 1.0 1197.0 536854528 (4942,25349) 9.464211632885527E-6
BFCP 32768 1.0 1218.0 536854528 (9042,18349) 5.003451711676375E-5
BFCP 32768 1.0 1174.0 536854528 (7672,30685) 2.7515239537600557E-5
BFCP 32768 1.0 1171.0 536854528 (14352,14353) 9.098077286493601E-6
BFCP 32768 1.0 1173.0 536854528 (6442,16296) 4.1580857149490896E-5
BFCP 32768 8.0 1170.0 536854528 (1552,31443) 5.407553338162654E-4
BFCP 32768 8.0 1174.0 536854528 (4650,23405) 2.4625214148415124E-4
BFCP 32768 8.0 1221.0 536854528 (15415,28669) 2.455052296236234E-4
BFCP 32768 8.0 1165.0 536854528 (1253,17607) 1.34829230329168E-4
BFCP 32768 8.0 1172.0 536854528 (12165,18404) 4.384660119760907E-4
BFCP 32768 64.0 1245.0 536854528 (16903,17238) 0.0019034442178388496
BFCP 32768 64.0 1177.0 536854528 (7186,7805) 0.001772839935512743
BFCP 32768 64.0 1162.0 536854528 (14379,16622) 0.004517976502104989
BFCP 32768 64.0 1181.0 536854528 (13889,28759) 0.0021504021585101738
BFCP 32768 64.0 1178.0 536854528 (515,21370) 0.0015438237330197557
BFCP 65536 1.0 4607.0 2147450880 (24636,62135) 1.485468241426593E-5
BFCP 65536 1.0 4660.0 2147450880 (50070,61210) 1.5056042440055425E-5
BFCP 65536 1.0 4659.0 2147450880 (24054,34036) 2.5642144411291142E-5
BFCP 65536 1.0 4609.0 2147450880 (8574,44516) 2.1977416867955818E-5
BFCP 65536 1.0 4801.0 2147450880 (822,16790) 1.1324420845634143E-5
BFCP 65536 8.0 4686.0 2147450880 (4242,11282) 2.162444743459897E-4
BFCP 65536 8.0 4705.0 2147450880 (23626,39502) 1.0016256748343388E-4
BFCP 65536 8.0 4655.0 2147450880 (38315,52248) 2.0452493446150265E-4
BFCP 65536 8.0 4769.0 2147450880 (13179,37292) 5.333908745568661E-5
BFCP 65536 8.0 4754.0 2147450880 (3256,9554) 9.701920352053522E-5
BFCP 65536 64.0 4685.0 2147450880 (31935,44612) 0.002856564108475844
BFCP 65536 64.0 4665.0 2147450880 (3053,6986) 7.915708665157632E-4
BFCP 65536 64.0 4626.0 2147450880 (1083,4602) 0.0011246533546693587
BFCP 65536 64.0 4664.0 2147450880 (2781,63711) 8.265881298448769E-4
BFCP 65536 64.0 4702.0 2147450880 (21762,44664) 8.359188530257158E-4
BFCP 131072 1.0 18670.0 8589869056 (16154,49970) 1.1371900354810277E-5
BFCP 131072 1.0 18794.0 8589869056 (63140,73256) 1.3632834229235807E-5
BFCP 131072 1.0 18766.0 8589869056 (19493,123913) 6.995763365689798E-6
BFCP 131072 1.0 18875.0 8589869056 (72488,103944) 8.611523303929072E-6
BFCP 131072 1.0 18496.0 8589869056 (19696,83202) 2.157393795718373E-5
BFCP 131072 8.0 19162.0 8589869056 (15142,128565) 5.3400810420471615E-6
BFCP 131072 8.0 18830.0 8589869056 (55997,91004) 9.700948742465175E-5
BFCP 131072 8.0 18485.0 8589869056 (10555,91495) 2.2352493888311178E-4
BFCP 131072 8.0 18567.0 8589869056 (105398,127416) 9.034373878935998E-5
BFCP 131072 8.0 18541.0 8589869056 (17332,78531) 5.5123791687513466E-5
BFCP 131072 64.0 18771.0 8589869056 (19177,93934) 5.917947879875421E-4
BFCP 131072 64.0 18550.0 8589869056 (24840,104205) 5.983560826388271E-4
BFCP 131072 64.0 18413.0 8589869056 (9551,55684) 5.308076765907706E-4
BFCP 131072 64.0 18690.0 8589869056 (41211,75586) 6.297334220687751E-4
BFCP 131072 64.0 18828.0 8589869056 (3919,68047) 8.095074898216853E-4
BFCP 262144 1.0 84123.0 34359607296 (23776,96630) 7.505887840774498E-6
BFCP 262144 1.0 84200.0 34359607296 (27026,191341) 8.012706310255146E-6
BFCP 262144 1.0 88678.0 34359607296 (63524,208273) 7.400358627254708E-6
BFCP 262144 1.0 87653.0 34359607296 (74138,204507) 4.147794305430991E-6
BFCP 262144 1.0 92904.0 34359607296 (227002,232851) 8.36789230243477E-6
